               cormo  |              bankid  |                                     cormo bank ID  |  100   |                  Di  
               cormo  |              sector  |                                     sector number  |    1   |                  Di  
               cormo  |               layer  |                                      layer number  |    2   |                  Di  
               cormo  |              paddle  |                                     paddle number  |    3   |                  Di  
               cormo  |                adcl  |                                              adcl  |    4   |                  Di  
               cormo  |                adcr  |                                              adcr  |    5   |                  Di  
               cormo  |                tdcl  |                                              tdcl  |    6   |                  Di  
               cormo  |                tdcr  |                                              tdcr  |    7   |                  Di  
               cormo  |                adcb  |                                              adcb  |    8   |                  Di  
               cormo  |                adcf  |                                              adcf  |    9   |                  Di  
               cormo  |                tdcb  |                                              tdcb  |   10   |                  Di  
               cormo  |                tdcf  |                                              tdcf  |   11   |                  Di  
               cormo  |                hitn  |                                        hit number  |   99   |                  Di  
                veto  |              bankid  |                                      veto bank ID  |  200   |                  Di  
                veto  |              sector  |                                     sector number  |    1   |                  Di  
                veto  |                veto  |                                       veto number  |    2   |                  Di  
                veto  |             channel  |                                    channel number  |    3   |                  Di  
                veto  |              module  |                                     module number  |    4   |                  Di  
                veto  |                adc1  |                                              adc1  |    5   |                  Di  
                veto  |                adc2  |                                              adc2  |    6   |                  Di  
                veto  |                adc3  |                                              adc3  |    7   |                  Di  
                veto  |                adc4  |                                              adc4  |    8   |                  Di  
                veto  |                tdc1  |                                              tdc1  |    9   |                  Di  
                veto  |                tdc2  |                                              tdc2  |   10   |                  Di  
                veto  |                tdc3  |                                              tdc3  |   11   |                  Di  
                veto  |                tdc4  |                                              tdc4  |   12   |                  Di  
                veto  |                adc5  |                                              adc5  |   13   |                  Di  
                veto  |                adc6  |                                              adc6  |   14   |                  Di  
                veto  |                adc7  |                                              adc7  |   15   |                  Di  
                veto  |                adc8  |                                              adc8  |   16   |                  Di  
                veto  |                tdc5  |                                              tdc5  |   17   |                  Di  
                veto  |                tdc6  |                                              tdc6  |   18   |                  Di  
                veto  |                tdc7  |                                              tdc7  |   19   |                  Di  
                veto  |                tdc8  |                                              tdc8  |   20   |                  Di  
                veto  |                hitn  |                                        hit number  |   99   |                  Di  
                 crs  |              bankid  |                                       crs bank ID  |  300   |                  Di  
                 crs  |                hitn  |                                        hit number  |    1   |                  Di  
                 crs  |              sector  |                                     module number  |    2   |                  Di  
                 crs  |               layer  |                                      plane number  |    3   |                  Di  
                 crs  |           component  |                                         x + 100*y  |    4   |                  Di  
                 crs  |           ADC_order  |                                         ADC_order  |    5   |                  Di  
                 crs  |             ADC_ADC  |                             energy measured (keV)  |    6   |                  Di  
                 crs  |            ADC_time  |                                              time  |    7   |                  Di  
                 crs  |             ADC_ped  |                                          pedestal  |    8   |                  Di  
               scint  |              bankid  |                                     scint bank ID  |  400   |                  Di  
               scint  |                hitn  |                                        hit number  |    1   |                  Di  
               scint  |              sector  |                                     module number  |    2   |                  Di  
               scint  |               layer  |                                           channel  |    3   |                  Di  
               scint  |           component  |                                    in or out veto  |    4   |                  Di  
               scint  |           ADC_order  |                                         ADC_order  |    5   |                  Di  
               scint  |             ADC_ADC  |                                     number of phe  |    6   |                  Di  
               scint  |            ADC_time  |                                              time  |    7   |                  Di  
               scint  |             ADC_ped  |                                          pedestal  |    8   |                  Di  
