         main_volume  |                root  |                         World  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 666666   |                 Box  |                                        800*cm 400*cm 400*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     detector_volume  |         main_volume  |               detector_volume  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 666666   |                 Box  |                                           30*cm 30*cm 30*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             scint_1  |     detector_volume  |               plastic scint 1  |                                 0*cm 7.8*cm -9*cm  |                      0*deg 90*deg 0*deg  | 555555   |                 Box  |                                             1*cm 1*cm 28*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |               scint  |               scint  |sector manual 1 xch manual 0 ych manual 0 zch manual 0 
             scint_2  |     detector_volume  |               plastic scint 2  |                                 0*cm 7.8*cm -3*cm  |                      0*deg 90*deg 0*deg  | 555555   |                 Box  |                                             1*cm 1*cm 28*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |               scint  |               scint  |sector manual 2 xch manual 0 ych manual 0 zch manual 0 
             scint_3  |     detector_volume  |               plastic scint 3  |                                  0*cm 7.8*cm 3*cm  |                      0*deg 90*deg 0*deg  | 555555   |                 Box  |                                             1*cm 1*cm 28*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |               scint  |               scint  |sector manual 3 xch manual 0 ych manual 0 zch manual 0 
             scint_4  |     detector_volume  |               plastic scint 4  |                                  0*cm 7.8*cm 9*cm  |                      0*deg 90*deg 0*deg  | 555555   |                 Box  |                                             1*cm 1*cm 28*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |               scint  |               scint  |sector manual 4 xch manual 0 ych manual 0 zch manual 0 
      alveolus_0_0_0  |     detector_volume  |                alveolus_0_0_0  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 666666   |                 Box  |                                      25.425*cm 4.7*cm 26*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  alveolus_air_0_0_0  |      alveolus_0_0_0  |                  alveolus air  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 666666   |                 Box  |                                      25.225*cm 4.5*cm 26*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          crs1_0_0_0  |  alveolus_air_0_0_0  |                    crs1 type1  |                          -21.385*cm -1.85*cm 0*cm  |                       3*deg 0*deg 0*deg  | 00ffff   |                 Trd  |                       1.19*cm 2.41*cm 1.22*cm 2.48*cm 12*cm  |              G4_BGO  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 1 xch manual 0 ych manual 0 zch manual 0 SiPM manual 6025 
      cap_crs1_0_0_0  |  alveolus_air_0_0_0  |                crs1 type1 cap  |-21.385*cm -1.1958005469632*cm 12.4828691844322*cm  |                       3*deg 0*deg 0*deg  | 555555   |                 Box  |                                      2.41*cm 2.48*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs1_0_0_0  |      cap_crs1_0_0_0  |           crs1 type1 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
